<<INFO>> 2021-04-17 --- 11:43:10.098425 >>>> ***Plot UI Start***
<<INFO>> 2021-04-17 --- 11:43:10.142736 >>>> Get Process Runing List
<<INFO>> 2021-04-17 --- 11:43:14.113336 >>>> Can not find Any Process with name firefox
<<INFO>> 2021-04-17 --- 11:43:14.124907 >>>> We Have exception in find Process firefox
<<INFO>> 2021-04-17 --- 11:43:34.383665 >>>> ***Plot UI Start***
<<INFO>> 2021-04-17 --- 11:43:34.425832 >>>> Get Process Runing List
<<INFO>> 2021-04-17 --- 11:43:41.034187 >>>> After Colorize the process List
<<INFO>> 2021-04-17 --- 11:43:43.769840 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:43:43.800332 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:43:43.818321 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:43:43.832832 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:43:43.845300 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:43:43.859389 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:43:43.871770 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:43:43.884866 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:43:43.897798 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:43:43.910746 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:43:43.927740 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:43:44.942466 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:43:45.949618 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:43:46.960504 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:43:47.970969 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:43:48.971451 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:43:49.991129 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:43:50.986819 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:43:52.003964 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:43:53.015138 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:43:54.018807 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:43:55.025271 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:43:56.030848 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:43:57.035764 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:43:58.059931 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:43:59.069621 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:00.077258 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:01.089754 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:02.093512 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:03.098660 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:04.107636 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:05.115577 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:06.125623 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:07.138877 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:08.128521 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:09.143906 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:10.160239 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:11.162976 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:12.167400 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:13.183801 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:14.189471 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:15.201027 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:16.210002 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:17.219805 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:18.230323 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:19.240589 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:20.248427 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:21.256294 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:22.259203 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:23.272991 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:24.282382 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:25.281196 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:26.289060 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:27.304772 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:28.319808 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:29.332001 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:30.345963 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:31.346694 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:32.356695 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:33.364917 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:34.373687 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:35.378243 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:36.392815 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:37.397593 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:38.404530 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:39.415769 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:40.422191 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:41.419263 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:42.439102 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:43.442416 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:44.451999 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:45.460874 >>>> Get Memory Percent Pid-- 2824
<<INFO>> 2021-04-17 --- 11:44:46.439831 >>>> Close Window Plot
<<INFO>> 2021-04-17 --- 11:45:09.785480 >>>> ***Plot UI Start***
<<INFO>> 2021-04-17 --- 11:45:09.837447 >>>> Get Process Runing List
