<<INFO>> 2021-04-17 --- 12:56:07.904465 >>>> ***Plot UI Start***
<<INFO>> 2021-04-17 --- 12:57:10.029508 >>>> ***Plot UI Start***
<<INFO>> 2021-04-17 --- 12:58:33.596989 >>>> ***Plot UI Start***
<<INFO>> 2021-04-17 --- 13:03:47.283303 >>>> ***Plot UI Start***
<<INFO>> 2021-04-17 --- 13:04:18.098592 >>>> ***Plot UI Start***
<<INFO>> 2021-04-17 --- 13:04:18.138465 >>>> Get Process Runing List
<<INFO>> 2021-04-17 --- 13:10:11.785885 >>>> ***Plot UI Start***
<<INFO>> 2021-04-17 --- 13:10:11.826273 >>>> Get Process Runing List
<<INFO>> 2021-04-17 --- 13:10:15.479502 >>>> After Colorize the process List
<<INFO>> 2021-04-17 --- 13:10:18.261460 >>>> Get Memory Percent Pid-- 3184
<<INFO>> 2021-04-17 --- 13:10:18.277448 >>>> Get Cpu Percent Pid 3184
<<INFO>> 2021-04-17 --- 13:10:18.284443 >>>> Get Memory Percent Pid-- 3184
<<INFO>> 2021-04-17 --- 13:10:18.298433 >>>> Get Cpu Percent Pid 3184
<<INFO>> 2021-04-17 --- 13:10:18.304319 >>>> Get Memory Percent Pid-- 3184
<<INFO>> 2021-04-17 --- 13:10:18.314525 >>>> Get Cpu Percent Pid 3184
<<INFO>> 2021-04-17 --- 13:10:18.319655 >>>> Get Memory Percent Pid-- 3184
<<INFO>> 2021-04-17 --- 13:10:18.329576 >>>> Get Cpu Percent Pid 3184
<<INFO>> 2021-04-17 --- 13:10:18.335072 >>>> Get Memory Percent Pid-- 3184
<<INFO>> 2021-04-17 --- 13:10:18.345498 >>>> Get Cpu Percent Pid 3184
<<INFO>> 2021-04-17 --- 13:10:18.351179 >>>> Get Memory Percent Pid-- 3184
<<INFO>> 2021-04-17 --- 13:10:18.361173 >>>> Get Cpu Percent Pid 3184
<<INFO>> 2021-04-17 --- 13:10:18.366811 >>>> Get Memory Percent Pid-- 3184
<<INFO>> 2021-04-17 --- 13:10:18.375809 >>>> Get Cpu Percent Pid 3184
<<INFO>> 2021-04-17 --- 13:10:18.381502 >>>> Get Memory Percent Pid-- 3184
<<INFO>> 2021-04-17 --- 13:10:18.391204 >>>> Get Cpu Percent Pid 3184
<<INFO>> 2021-04-17 --- 13:10:18.396551 >>>> Get Memory Percent Pid-- 3184
<<INFO>> 2021-04-17 --- 13:10:18.406340 >>>> Get Cpu Percent Pid 3184
<<INFO>> 2021-04-17 --- 13:10:18.412338 >>>> Get Memory Percent Pid-- 3184
<<INFO>> 2021-04-17 --- 13:10:18.423332 >>>> Get Cpu Percent Pid 3184
<<INFO>> 2021-04-17 --- 13:10:18.433236 >>>> Get Memory Percent Pid-- 3184
<<INFO>> 2021-04-17 --- 13:10:18.444509 >>>> Get Cpu Percent Pid 3184
<<INFO>> 2021-04-17 --- 13:10:19.438121 >>>> Get Memory Percent Pid-- 3184
<<INFO>> 2021-04-17 --- 13:10:19.453660 >>>> Get Cpu Percent Pid 3184
<<INFO>> 2021-04-17 --- 13:10:20.452178 >>>> Get Memory Percent Pid-- 3184
<<INFO>> 2021-04-17 --- 13:10:20.476166 >>>> Get Cpu Percent Pid 3184
<<INFO>> 2021-04-17 --- 13:10:21.459190 >>>> Get Memory Percent Pid-- 3184
<<INFO>> 2021-04-17 --- 13:10:21.488173 >>>> Get Cpu Percent Pid 3184
<<INFO>> 2021-04-17 --- 13:10:22.460210 >>>> Get Memory Percent Pid-- 3184
<<INFO>> 2021-04-17 --- 13:10:22.501184 >>>> Get Cpu Percent Pid 3184
<<INFO>> 2021-04-17 --- 13:10:23.464640 >>>> Get Memory Percent Pid-- 3184
<<INFO>> 2021-04-17 --- 13:10:23.511612 >>>> Get Cpu Percent Pid 3184
<<INFO>> 2021-04-17 --- 13:10:24.473721 >>>> Get Memory Percent Pid-- 3184
<<INFO>> 2021-04-17 --- 13:10:24.520133 >>>> Get Cpu Percent Pid 3184
<<INFO>> 2021-04-17 --- 13:10:25.477590 >>>> Get Memory Percent Pid-- 3184
<<INFO>> 2021-04-17 --- 13:10:25.522658 >>>> Get Cpu Percent Pid 3184
<<INFO>> 2021-04-17 --- 13:10:26.482011 >>>> Get Memory Percent Pid-- 3184
<<INFO>> 2021-04-17 --- 13:10:26.527530 >>>> Get Cpu Percent Pid 3184
<<INFO>> 2021-04-17 --- 13:10:27.482768 >>>> Get Memory Percent Pid-- 3184
<<INFO>> 2021-04-17 --- 13:10:27.528740 >>>> Get Cpu Percent Pid 3184
<<INFO>> 2021-04-17 --- 13:10:28.496659 >>>> Get Memory Percent Pid-- 3184
<<INFO>> 2021-04-17 --- 13:10:28.539660 >>>> Get Cpu Percent Pid 3184
<<INFO>> 2021-04-17 --- 13:10:29.503837 >>>> Get Memory Percent Pid-- 3184
<<INFO>> 2021-04-17 --- 13:10:29.550575 >>>> Get Cpu Percent Pid 3184
<<INFO>> 2021-04-17 --- 13:10:30.516728 >>>> Get Memory Percent Pid-- 3184
<<INFO>> 2021-04-17 --- 13:10:30.562896 >>>> Get Cpu Percent Pid 3184
<<INFO>> 2021-04-17 --- 13:10:31.517390 >>>> Get Memory Percent Pid-- 3184
<<INFO>> 2021-04-17 --- 13:10:31.569241 >>>> Get Cpu Percent Pid 3184
<<INFO>> 2021-04-17 --- 13:10:32.536472 >>>> Get Memory Percent Pid-- 3184
<<INFO>> 2021-04-17 --- 13:10:32.583177 >>>> Get Cpu Percent Pid 3184
<<INFO>> 2021-04-17 --- 13:10:33.537902 >>>> Get Memory Percent Pid-- 3184
<<INFO>> 2021-04-17 --- 13:10:33.578233 >>>> Get Cpu Percent Pid 3184
<<INFO>> 2021-04-17 --- 13:10:34.546765 >>>> Get Memory Percent Pid-- 3184
<<INFO>> 2021-04-17 --- 13:10:34.588471 >>>> Get Cpu Percent Pid 3184
<<INFO>> 2021-04-17 --- 13:10:35.548189 >>>> Get Memory Percent Pid-- 3184
<<INFO>> 2021-04-17 --- 13:10:35.588872 >>>> Get Cpu Percent Pid 3184
<<INFO>> 2021-04-17 --- 13:10:36.550633 >>>> Get Memory Percent Pid-- 3184
<<INFO>> 2021-04-17 --- 13:10:36.596205 >>>> Get Cpu Percent Pid 3184
<<INFO>> 2021-04-17 --- 13:10:37.565056 >>>> Get Memory Percent Pid-- 3184
<<INFO>> 2021-04-17 --- 13:10:37.612363 >>>> Get Cpu Percent Pid 3184
<<INFO>> 2021-04-17 --- 13:10:38.567268 >>>> Get Memory Percent Pid-- 3184
<<INFO>> 2021-04-17 --- 13:10:38.614593 >>>> Get Cpu Percent Pid 3184
<<INFO>> 2021-04-17 --- 13:10:39.572603 >>>> Get Memory Percent Pid-- 3184
<<INFO>> 2021-04-17 --- 13:10:39.618369 >>>> Get Cpu Percent Pid 3184
