2021-03-06 22:27:18,273---INFO---
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        140 K
Registry                       100 Services                   0     82,896 K
smss.exe                       348 Services                   0      1,044 K
csrss.exe                      460 Services                   0      5,264 K
wininit.exe                    620 Services                   0      6,332 K
csrss.exe                      628 Console                    1      5,656 K
services.exe                   708 Services                   0      9,180 K
lsass.exe                      720 Services                   0     25,136 K
winlogon.exe                   804 Console                    1     11,948 K
svchost.exe                    944 Services                   0     32,564 K
fontdrvhost.exe                968 Console                    1     17,808 K
fontdrvhost.exe                972 Services                   0      2,980 K
svchost.exe                    400 Services                   0     16,672 K
svchost.exe                    568 Services                   0     10,232 K
dwm.exe                        756 Console                    1     69,568 K
svchost.exe                   1068 Services                   0     10,876 K
svchost.exe                   1160 Services                   0     11,508 K
svchost.exe                   1168 Services                   0     10,084 K
svchost.exe                   1260 Services                   0     15,100 K
svchost.exe                   1312 Services                   0     12,652 K
svchost.exe                   1320 Services                   0      8,284 K
svchost.exe                   1336 Services                   0      5,860 K
svchost.exe                   1420 Services                   0     13,672 K
svchost.exe                   1472 Services                   0      9,540 K
svchost.exe                   1624 Services                   0      7,180 K
svchost.exe                   1664 Services                   0      7,960 K
svchost.exe                   1744 Services                   0      6,716 K
svchost.exe                   1800 Services                   0      7,320 K
WUDFHost.exe                  1872 Services                   0      7,280 K
svchost.exe                   1904 Services                   0     16,396 K
svchost.exe                   1916 Services                   0      6,948 K
svchost.exe                   1944 Services                   0     13,332 K
svchost.exe                   2008 Services                   0      5,532 K
svchost.exe                   1184 Services                   0      8,152 K
Memory Compression            2076 Services                   0    250,220 K
svchost.exe                   2120 Services                   0     12,076 K
svchost.exe                   2136 Services                   0      7,912 K
svchost.exe                   2204 Services                   0      7,560 K
igfxCUIService.exe            2252 Services                   0      8,928 K
svchost.exe                   2284 Services                   0     10,512 K
svchost.exe                   2348 Services                   0      8,476 K
svchost.exe                   2356 Services                   0      7,128 K
svchost.exe                   2372 Services                   0      8,000 K
svchost.exe                   2412 Services                   0      9,408 K
svchost.exe                   2768 Services                   0      7,084 K
svchost.exe                   2788 Services                   0     13,568 K
svchost.exe                   2840 Services                   0      9,128 K
svchost.exe                   2868 Services                   0      9,580 K
svchost.exe                   2876 Services                   0      6,360 K
svchost.exe                   2444 Services                   0     16,508 K
svchost.exe                   2784 Services                   0     13,124 K
spoolsv.exe                   3140 Services                   0     12,988 K
svchost.exe                   3196 Services                   0     17,840 K
svchost.exe                   3276 Services                   0      5,484 K
svchost.exe                   3372 Services                   0     13,136 K
AdminService.exe              3380 Services                   0      6,172 K
svchost.exe                   3388 Services                   0     28,900 K
svchost.exe                   3396 Services                   0     40,916 K
ETDService.exe                3408 Services                   0      5,060 K
cmw_srv.exe                   3448 Services                   0     85,252 K
svchost.exe                   3484 Services                   0     15,724 K
NVDisplay.Container.exe       3564 Services                   0      9,832 K
svchost.exe                   3572 Services                   0      6,052 K
TCPSVCS.EXE                   3580 Services                   0      3,924 K
svchost.exe                   3600 Services                   0      5,288 K
svchost.exe                   3608 Services                   0      7,896 K
sqlwriter.exe                 3616 Services                   0      7,668 K
svchost.exe                   3660 Services                   0      8,640 K
svchost.exe                   3672 Services                   0     19,716 K
svchost.exe                   3684 Services                   0     10,412 K
svchost.exe                   3848 Services                   0      5,060 K
svchost.exe                   4072 Services                   0     11,964 K
nvxdsync.exe                  4156 Console                    1     22,892 K
ETDCtrl.exe                   2652 Console                    1     21,864 K
sihost.exe                     760 Console                    1     31,268 K
svchost.exe                   4268 Console                    1     22,508 K
svchost.exe                   4852 Console                    1     47,532 K
PresentationFontCache.exe     4516 Services                   0     15,608 K
taskhostw.exe                 4952 Console                    1     18,680 K
svchost.exe                   5168 Services                   0     15,288 K
svchost.exe                   5252 Services                   0     11,900 K
svchost.exe                   5292 Services                   0      7,496 K
ctfmon.exe                    5376 Console                    1     25,312 K
ETDCtrlHelper.exe             5520 Console                    1      7,456 K
svchost.exe                   5544 Services                   0     10,304 K
